Date,Month,Year,Plate,Day,Well,Alive,Molted
21,February,2019,20-02-19 A,1,A1,1,1
21,February,2019,20-02-19 A,1,A2,1,0
21,February,2019,20-02-19 A,1,A3,1,0
21,February,2019,20-02-19 A,1,A4,1,0
21,February,2019,20-02-19 A,1,A5,1,0
21,February,2019,20-02-19 A,1,A6,1,1
21,February,2019,20-02-19 A,1,B1,1,1
21,February,2019,20-02-19 A,1,B2,1,0
21,February,2019,20-02-19 A,1,B3,1,0
21,February,2019,20-02-19 A,1,B4,1,0
21,February,2019,20-02-19 A,1,B5,1,1
21,February,2019,20-02-19 A,1,B6,1,1
21,February,2019,20-02-19 A,1,C1,1,1
21,February,2019,20-02-19 A,1,C2,1,0
21,February,2019,20-02-19 A,1,C3,1,0
21,February,2019,20-02-19 A,1,C4,1,1
21,February,2019,20-02-19 A,1,C5,1,1
21,February,2019,20-02-19 A,1,C6,1,1
21,February,2019,20-02-19 A,1,D1,1,0
21,February,2019,20-02-19 A,1,D2,1,0
21,February,2019,20-02-19 A,1,D3,1,0
21,February,2019,20-02-19 A,1,D4,1,0
21,February,2019,20-02-19 A,1,D5,1,0
21,February,2019,20-02-19 A,1,D6,1,1
21,February,2019,20-02-19 B,1,A1,1,1
21,February,2019,20-02-19 B,1,A2,1,0
21,February,2019,20-02-19 B,1,A3,1,1
21,February,2019,20-02-19 B,1,A4,1,0
21,February,2019,20-02-19 B,1,A5,1,0
21,February,2019,20-02-19 B,1,A6,1,1
21,February,2019,20-02-19 B,1,B1,1,0
21,February,2019,20-02-19 B,1,B2,1,0
21,February,2019,20-02-19 B,1,B3,1,0
21,February,2019,20-02-19 B,1,B4,1,1
21,February,2019,20-02-19 B,1,B5,1,1
21,February,2019,20-02-19 B,1,B6,1,1
21,February,2019,20-02-19 B,1,C1,1,0
21,February,2019,20-02-19 B,1,C2,1,0
21,February,2019,20-02-19 B,1,C3,1,1
21,February,2019,20-02-19 B,1,C4,1,1
21,February,2019,20-02-19 B,1,C5,1,1
21,February,2019,20-02-19 B,1,C6,1,1
21,February,2019,20-02-19 B,1,D1,1,0
21,February,2019,20-02-19 B,1,D2,1,0
21,February,2019,20-02-19 B,1,D3,1,1
21,February,2019,20-02-19 B,1,D4,1,1
21,February,2019,20-02-19 B,1,D5,1,1
21,February,2019,20-02-19 B,1,D6,0,0
22,February,2019,20-02-19 A,2,A1,1,1
22,February,2019,20-02-19 A,2,A2,1,0
22,February,2019,20-02-19 A,2,A3,1,0
22,February,2019,20-02-19 A,2,A4,1,0
22,February,2019,20-02-19 A,2,A5,1,0
22,February,2019,20-02-19 A,2,A6,1,1
22,February,2019,20-02-19 A,2,B1,1,1
22,February,2019,20-02-19 A,2,B2,1,1
22,February,2019,20-02-19 A,2,B3,1,0
22,February,2019,20-02-19 A,2,B4,1,1
22,February,2019,20-02-19 A,2,B5,1,1
22,February,2019,20-02-19 A,2,B6,1,0
22,February,2019,20-02-19 A,2,C1,1,1
22,February,2019,20-02-19 A,2,C2,1,1
22,February,2019,20-02-19 A,2,C3,1,0
22,February,2019,20-02-19 A,2,C4,1,1
22,February,2019,20-02-19 A,2,C5,1,1
22,February,2019,20-02-19 A,2,C6,1,1
22,February,2019,20-02-19 A,2,D1,1,0
22,February,2019,20-02-19 A,2,D2,1,0
22,February,2019,20-02-19 A,2,D3,1,1
22,February,2019,20-02-19 A,2,D4,1,0
22,February,2019,20-02-19 A,2,D5,1,1
22,February,2019,20-02-19 A,2,D6,1,1
22,February,2019,20-02-19 B,2,A1,1,0
22,February,2019,20-02-19 B,2,A2,1,0
22,February,2019,20-02-19 B,2,A3,1,0
22,February,2019,20-02-19 B,2,A4,1,1
22,February,2019,20-02-19 B,2,A5,1,1
22,February,2019,20-02-19 B,2,A6,1,0
22,February,2019,20-02-19 B,2,B1,1,1
22,February,2019,20-02-19 B,2,B2,1,1
22,February,2019,20-02-19 B,2,B3,1,1
22,February,2019,20-02-19 B,2,B4,1,1
22,February,2019,20-02-19 B,2,B5,1,0
22,February,2019,20-02-19 B,2,B6,1,1
22,February,2019,20-02-19 B,2,C1,1,0
22,February,2019,20-02-19 B,2,C2,1,0
22,February,2019,20-02-19 B,2,C3,1,1
22,February,2019,20-02-19 B,2,C4,1,1
22,February,2019,20-02-19 B,2,C5,1,1
22,February,2019,20-02-19 B,2,C6,1,0
22,February,2019,20-02-19 B,2,D1,1,0
22,February,2019,20-02-19 B,2,D2,1,1
22,February,2019,20-02-19 B,2,D3,1,1
22,February,2019,20-02-19 B,2,D4,1,0
22,February,2019,20-02-19 B,2,D5,1,0
22,February,2019,20-02-19 B,2,D6,0,0
23,February,2019,20-02-19 A,3,A1,1,0
23,February,2019,20-02-19 A,3,A2,1,0
23,February,2019,20-02-19 A,3,A3,1,0
23,February,2019,20-02-19 A,3,A4,1,0
23,February,2019,20-02-19 A,3,A5,1,0
23,February,2019,20-02-19 A,3,A6,1,0
23,February,2019,20-02-19 A,3,B1,1,0
23,February,2019,20-02-19 A,3,B2,1,0
23,February,2019,20-02-19 A,3,B3,1,1
23,February,2019,20-02-19 A,3,B4,1,1
23,February,2019,20-02-19 A,3,B5,1,1
23,February,2019,20-02-19 A,3,B6,1,0
23,February,2019,20-02-19 A,3,C1,1,0
23,February,2019,20-02-19 A,3,C2,1,1
23,February,2019,20-02-19 A,3,C3,1,1
23,February,2019,20-02-19 A,3,C4,1,1
23,February,2019,20-02-19 A,3,C5,1,0
23,February,2019,20-02-19 A,3,C6,1,0
23,February,2019,20-02-19 A,3,D1,1,0
23,February,2019,20-02-19 A,3,D2,1,0
23,February,2019,20-02-19 A,3,D3,1,0
23,February,2019,20-02-19 A,3,D4,1,1
23,February,2019,20-02-19 A,3,D5,1,0
23,February,2019,20-02-19 A,3,D6,1,0
23,February,2019,20-02-19 B,3,A1,0,0
23,February,2019,20-02-19 B,3,A2,1,0
23,February,2019,20-02-19 B,3,A3,1,1
23,February,2019,20-02-19 B,3,A4,1,0
23,February,2019,20-02-19 B,3,A5,1,1
23,February,2019,20-02-19 B,3,A6,0,0
23,February,2019,20-02-19 B,3,B1,1,1
23,February,2019,20-02-19 B,3,B2,1,1
23,February,2019,20-02-19 B,3,B3,0,0
23,February,2019,20-02-19 B,3,B4,1,1
23,February,2019,20-02-19 B,3,B5,1,1
23,February,2019,20-02-19 B,3,B6,1,0
23,February,2019,20-02-19 B,3,C1,1,1
23,February,2019,20-02-19 B,3,C2,1,1
23,February,2019,20-02-19 B,3,C3,1,0
23,February,2019,20-02-19 B,3,C4,0,0
23,February,2019,20-02-19 B,3,C5,1,0
23,February,2019,20-02-19 B,3,C6,1,1
23,February,2019,20-02-19 B,3,D1,1,1
23,February,2019,20-02-19 B,3,D2,1,0
23,February,2019,20-02-19 B,3,D3,1,1
23,February,2019,20-02-19 B,3,D4,1,0
23,February,2019,20-02-19 B,3,D5,1,0
23,February,2019,20-02-19 B,3,D6,0,0
24,February,2019,20-02-19 A,4,A1,0,0
