Date,Month,Year,Plate,Day,Well,Alive,Molted
28,June,2019,27-06-19 A1,1,A1,1,0
28,June,2019,27-06-19 A1,1,A2,1,0
28,June,2019,27-06-19 A1,1,A3,1,0
28,June,2019,27-06-19 A1,1,A4,1,1
28,June,2019,27-06-19 A1,1,B1,1,0
28,June,2019,27-06-19 A1,1,B2,1,0
28,June,2019,27-06-19 A1,1,B3,1,0
28,June,2019,27-06-19 A1,1,B4,1,0
28,June,2019,27-06-19 A1,1,C1,1,0
28,June,2019,27-06-19 A1,1,C2,1,1
28,June,2019,27-06-19 A1,1,C3,1,0
28,June,2019,27-06-19 A1,1,C4,1,0
28,June,2019,27-06-19 A2,1,A1,1,0
28,June,2019,27-06-19 A2,1,A2,1,0
28,June,2019,27-06-19 A2,1,A3,1,0
28,June,2019,27-06-19 A2,1,A4,1,0
28,June,2019,27-06-19 A2,1,B1,1,0
28,June,2019,27-06-19 A2,1,B2,1,0
28,June,2019,27-06-19 A2,1,B3,1,0
28,June,2019,27-06-19 A2,1,B4,1,0
28,June,2019,27-06-19 A2,1,C1,1,0
28,June,2019,27-06-19 A2,1,C2,1,0
28,June,2019,27-06-19 A2,1,C3,1,0
28,June,2019,27-06-19 A2,1,C4,1,0
28,June,2019,27-06-19 B1,1,A1,1,0
28,June,2019,27-06-19 B1,1,A2,1,1
28,June,2019,27-06-19 B1,1,A3,1,0
28,June,2019,27-06-19 B1,1,A4,1,0
28,June,2019,27-06-19 B1,1,B1,1,0
28,June,2019,27-06-19 B1,1,B2,1,0
28,June,2019,27-06-19 B1,1,B3,1,0
28,June,2019,27-06-19 B1,1,B4,1,0
28,June,2019,27-06-19 B1,1,C1,1,0
28,June,2019,27-06-19 B1,1,C2,1,0
28,June,2019,27-06-19 B1,1,C3,1,0
28,June,2019,27-06-19 B1,1,C4,1,0
28,June,2019,27-06-19 B2,1,A1,1,0
28,June,2019,27-06-19 B2,1,A2,1,0
28,June,2019,27-06-19 B2,1,A3,1,0
28,June,2019,27-06-19 B2,1,A4,1,0
28,June,2019,27-06-19 B2,1,B1,1,0
28,June,2019,27-06-19 B2,1,B2,1,0
28,June,2019,27-06-19 B2,1,B3,1,0
28,June,2019,27-06-19 B2,1,B4,1,0
28,June,2019,27-06-19 B2,1,C1,1,0
28,June,2019,27-06-19 B2,1,C2,1,0
28,June,2019,27-06-19 B2,1,C3,1,0
28,June,2019,27-06-19 B2,1,C4,1,0
28,June,2019,27-06-19 A1,2,A1,1,0
28,June,2019,27-06-19 A1,2,A2,1,0
28,June,2019,27-06-19 A1,2,A3,1,0
28,June,2019,27-06-19 A1,2,A4,1,1
28,June,2019,27-06-19 A1,2,B1,1,0
28,June,2019,27-06-19 A1,2,B2,1,0
28,June,2019,27-06-19 A1,2,B3,1,0
28,June,2019,27-06-19 A1,2,B4,1,0
28,June,2019,27-06-19 A1,2,C1,1,0
28,June,2019,27-06-19 A1,2,C2,1,1
28,June,2019,27-06-19 A1,2,C3,1,0
28,June,2019,27-06-19 A1,2,C4,1,0
28,June,2019,27-06-19 A2,2,A1,1,0
28,June,2019,27-06-19 A2,2,A2,1,0
28,June,2019,27-06-19 A2,2,A3,1,0
28,June,2019,27-06-19 A2,2,A4,1,0
28,June,2019,27-06-19 A2,2,B1,1,0
28,June,2019,27-06-19 A2,2,B2,1,0
28,June,2019,27-06-19 A2,2,B3,1,0
28,June,2019,27-06-19 A2,2,B4,1,0
28,June,2019,27-06-19 A2,2,C1,1,0
28,June,2019,27-06-19 A2,2,C2,1,0
28,June,2019,27-06-19 A2,2,C3,1,0
28,June,2019,27-06-19 A2,2,C4,1,0
28,June,2019,27-06-19 B1,2,A1,1,0
28,June,2019,27-06-19 B1,2,A2,1,1
28,June,2019,27-06-19 B1,2,A3,1,0
28,June,2019,27-06-19 B1,2,A4,1,0
28,June,2019,27-06-19 B1,2,B1,1,0
28,June,2019,27-06-19 B1,2,B2,1,0
