Day,Month,Year,Plate,Day,Well,Alive,Molted
5,September,2019,04-Sep-19 A,1,A1,1,0
5,September,2019,04-Sep-19 A,1,A2,1,0
5,September,2019,04-Sep-19 A,1,A3,1,0
5,September,2019,04-Sep-19 A,1,A4,1,0
5,September,2019,04-Sep-19 A,1,B1,1,0
5,September,2019,04-Sep-19 A,1,B2,1,0
5,September,2019,04-Sep-19 A,1,B3,1,1
5,September,2019,04-Sep-19 A,1,B4,1,0
5,September,2019,04-Sep-19 A,1,C1,1,0
5,September,2019,04-Sep-19 A,1,C2,1,0
5,September,2019,04-Sep-19 A,1,C3,1,0
5,September,2019,04-Sep-19 A,1,C4,1,0
5,September,2019,04-Sep-19 B,1,A1,1,0
5,September,2019,04-Sep-19 B,1,A2,1,0
5,September,2019,04-Sep-19 B,1,A3,1,1
5,September,2019,04-Sep-19 B,1,A4,1,0
5,September,2019,04-Sep-19 B,1,B1,1,0
5,September,2019,04-Sep-19 B,1,B2,1,0
5,September,2019,04-Sep-19 B,1,B3,1,0
5,September,2019,04-Sep-19 B,1,B4,1,0
5,September,2019,04-Sep-19 B,1,C1,1,0
5,September,2019,04-Sep-19 B,1,C2,1,0
5,September,2019,04-Sep-19 B,1,C3,1,0
5,September,2019,04-Sep-19 B,1,C4,1,0
6,September,2019,04-Sep-19 A,2,A1,1,0
6,September,2019,04-Sep-19 A,2,A2,1,1
6,September,2019,04-Sep-19 A,2,A3,1,0
6,September,2019,04-Sep-19 A,2,A4,1,0
6,September,2019,04-Sep-19 A,2,B1,1,0
6,September,2019,04-Sep-19 A,2,B2,1,0
6,September,2019,04-Sep-19 A,2,B3,1,0
6,September,2019,04-Sep-19 A,2,B4,1,0
6,September,2019,04-Sep-19 A,2,C1,1,0
6,September,2019,04-Sep-19 A,2,C2,1,0
6,September,2019,04-Sep-19 A,2,C3,1,0
6,September,2019,04-Sep-19 A,2,C4,1,0
6,September,2019,04-Sep-19 B,2,A1,1,0
6,September,2019,04-Sep-19 B,2,A2,1,0
6,September,2019,04-Sep-19 B,2,A3,1,0
6,September,2019,04-Sep-19 B,2,A4,1,0
6,September,2019,04-Sep-19 B,2,B1,1,0
6,September,2019,04-Sep-19 B,2,B2,1,0
6,September,2019,04-Sep-19 B,2,B3,1,0
6,September,2019,04-Sep-19 B,2,B4,1,0
6,September,2019,04-Sep-19 B,2,C1,1,0
6,September,2019,04-Sep-19 B,2,C2,1,0
6,September,2019,04-Sep-19 B,2,C3,1,0
6,September,2019,04-Sep-19 B,2,C4,1,0
7,September,2019,04-Sep-19 A,3,A1,1,0
7,September,2019,04-Sep-19 A,3,A2,1,0
7,September,2019,04-Sep-19 A,3,A3,1,0
7,September,2019,04-Sep-19 A,3,A4,1,0
7,September,2019,04-Sep-19 A,3,B1,1,0
7,September,2019,04-Sep-19 A,3,B2,1,0
7,September,2019,04-Sep-19 A,3,B3,1,0
7,September,2019,04-Sep-19 A,3,B4,1,0
7,September,2019,04-Sep-19 A,3,C1,1,0
7,September,2019,04-Sep-19 A,3,C2,1,0
7,September,2019,04-Sep-19 A,3,C3,1,0
7,September,2019,04-Sep-19 A,3,C4,1,0
7,September,2019,04-Sep-19 B,3,A1,1,0
7,September,2019,04-Sep-19 B,3,A2,1,0
7,September,2019,04-Sep-19 B,3,A3,1,0
7,September,2019,04-Sep-19 B,3,A4,1,0
7,September,2019,04-Sep-19 B,3,B1,1,0
7,September,2019,04-Sep-19 B,3,B2,1,0
7,September,2019,04-Sep-19 B,3,B3,1,0
7,September,2019,04-Sep-19 B,3,B4,1,0
7,September,2019,04-Sep-19 B,3,C1,1,1
7,September,2019,04-Sep-19 B,3,C2,1,0
