Date,Month,Year,Plate,Day,Well,Alive,Molted
27,September,2019,26-09-19 A(H),1,A1,1,0
27,September,2019,26-09-19 A(H),1,A2,1,0
27,September,2019,26-09-19 A(H),1,A3,0,0
27,September,2019,26-09-19 A(H),1,A4,1,0
27,September,2019,26-09-19 A(H),1,B1,1,0
27,September,2019,26-09-19 A(H),1,B2,1,0
27,September,2019,26-09-19 A(H),1,B3,1,0
27,September,2019,26-09-19 A(H),1,B4,1,0
27,September,2019,26-09-19 A(H),1,C1,1,0
27,September,2019,26-09-19 A(H),1,C2,1,0
27,September,2019,26-09-19 A(H),1,C3,1,0
27,September,2019,26-09-19 A(H),1,C4,1,0
27,September,2019,26-09-19 B(H),1,A1,1,0
27,September,2019,26-09-19 B(H),1,A2,1,0
27,September,2019,26-09-19 B(H),1,A3,1,0
27,September,2019,26-09-19 B(H),1,A4,1,0
27,September,2019,26-09-19 B(H),1,B1,1,0
27,September,2019,26-09-19 B(H),1,B2,1,0
27,September,2019,26-09-19 B(H),1,B3,1,0
27,September,2019,26-09-19 B(H),1,B4,1,0
27,September,2019,26-09-19 B(H),1,C1,1,0
27,September,2019,26-09-19 B(H),1,C2,1,0
27,September,2019,26-09-19 B(H),1,C3,1,0
27,September,2019,26-09-19 B(H),1,C4,1,0
27,September,2019,26-09-19 C(L),1,A1,1,0
27,September,2019,26-09-19 C(L),1,A2,1,0
27,September,2019,26-09-19 C(L),1,A3,1,0
27,September,2019,26-09-19 C(L),1,A4,1,0
27,September,2019,26-09-19 C(L),1,B1,1,0
27,September,2019,26-09-19 C(L),1,B2,1,0
27,September,2019,26-09-19 C(L),1,B3,1,0
27,September,2019,26-09-19 C(L),1,B4,1,0
27,September,2019,26-09-19 C(L),1,C1,1,0
27,September,2019,26-09-19 C(L),1,C2,1,0
27,September,2019,26-09-19 C(L),1,C3,1,0
27,September,2019,26-09-19 C(L),1,C4,1,0
28,September,2019,26-09-19 A(H),2,A1,1,0
28,September,2019,26-09-19 A(H),2,A2,1,0
28,September,2019,26-09-19 A(H),2,A3,0,0
28,September,2019,26-09-19 A(H),2,A4,1,0
28,September,2019,26-09-19 A(H),2,B1,1,0
28,September,2019,26-09-19 A(H),2,B2,1,0
28,September,2019,26-09-19 A(H),2,B3,1,0
28,September,2019,26-09-19 A(H),2,B4,1,0
28,September,2019,26-09-19 A(H),2,C1,1,0
28,September,2019,26-09-19 A(H),2,C2,1,0
28,September,2019,26-09-19 A(H),2,C3,1,0
28,September,2019,26-09-19 A(H),2,C4,1,0
28,September,2019,26-09-19 B(H),2,A1,1,0
28,September,2019,26-09-19 B(H),2,A2,1,0
28,September,2019,26-09-19 B(H),2,A3,1,0
28,September,2019,26-09-19 B(H),2,A4,1,0
28,September,2019,26-09-19 B(H),2,B1,1,0
28,September,2019,26-09-19 B(H),2,B2,1,0
28,September,2019,26-09-19 B(H),2,B3,1,0
28,September,2019,26-09-19 B(H),2,B4,1,0
28,September,2019,26-09-19 B(H),2,C1,1,0
28,September,2019,26-09-19 B(H),2,C2,1,0
28,September,2019,26-09-19 B(H),2,C3,1,0
28,September,2019,26-09-19 B(H),2,C4,1,0
28,September,2019,26-09-19 C(L),2,A1,1,0
28,September,2019,26-09-19 C(L),2,A2,1,0
28,September,2019,26-09-19 C(L),2,A3,1,0
28,September,2019,26-09-19 C(L),2,A4,1,0
28,September,2019,26-09-19 C(L),2,B1,1,0
28,September,2019,26-09-19 C(L),2,B2,1,0
28,September,2019,26-09-19 C(L),2,B3,1,0
28,September,2019,26-09-19 C(L),2,B4,1,0
28,September,2019,26-09-19 C(L),2,C1,1,0
28,September,2019,26-09-19 C(L),2,C2,1,0
28,September,2019,26-09-19 C(L),2,C3,1,0
28,September,2019,26-09-19 C(L),2,C4,1,0
29,September,2019,26-09-19 A(H),3,A1,1,0
29,September,2019,26-09-19 A(H),3,A2,1,0
29,September,2019,26-09-19 A(H),3,A3,0,0
29,September,2019,26-09-19 A(H),3,A4,1,0
29,September,2019,26-09-19 A(H),3,B1,1,0
29,September,2019,26-09-19 A(H),3,B2,1,0
29,September,2019,26-09-19 A(H),3,B3,1,0
29,September,2019,26-09-19 A(H),3,B4,1,0
29,September,2019,26-09-19 A(H),3,C1,1,0
29,September,2019,26-09-19 A(H),3,C2,1,0
29,September,2019,26-09-19 A(H),3,C3,1,0
29,September,2019,26-09-19 A(H),3,C4,1,0
29,September,2019,26-09-19 B(H),3,A1,1,0
29,September,2019,26-09-19 B(H),3,A2,1,0
29,September,2019,26-09-19 B(H),3,A3,1,0
29,September,2019,26-09-19 B(H),3,A4,1,0
29,September,2019,26-09-19 B(H),3,B1,1,0
29,September,2019,26-09-19 B(H),3,B2,1,0
29,September,2019,26-09-19 B(H),3,B3,1,0
29,September,2019,26-09-19 B(H),3,B4,1,0
29,September,2019,26-09-19 B(H),3,C1,1,0
29,September,2019,26-09-19 B(H),3,C2,1,0
29,September,2019,26-09-19 B(H),3,C3,1,0
29,September,2019,26-09-19 B(H),3,C4,1,0
29,September,2019,26-09-19 C(L),3,A1,1,0
29,September,2019,26-09-19 C(L),3,A2,1,0
29,September,2019,26-09-19 C(L),3,A3,1,0
29,September,2019,26-09-19 C(L),3,A4,1,0
29,September,2019,26-09-19 C(L),3,B1,1,0
29,September,2019,26-09-19 C(L),3,B2,1,0
29,September,2019,26-09-19 C(L),3,B3,1,0
29,September,2019,26-09-19 C(L),3,B4,1,0
29,September,2019,26-09-19 C(L),3,C1,1,0
29,September,2019,26-09-19 C(L),3,C2,1,0
29,September,2019,26-09-19 C(L),3,C3,1,0
29,September,2019,26-09-19 C(L),3,C4,1,0
30,September,2019,26-09-19 A(H),4,A1,1,0
30,September,2019,26-09-19 A(H),4,A2,1,0
30,September,2019,26-09-19 A(H),4,A3,0,0
30,September,2019,26-09-19 A(H),4,A4,1,0
30,September,2019,26-09-19 A(H),4,B1,1,0
30,September,2019,26-09-19 A(H),4,B2,1,0
30,September,2019,26-09-19 A(H),4,B3,1,0
30,September,2019,26-09-19 A(H),4,B4,1,0
30,September,2019,26-09-19 A(H),4,C1,1,0
30,September,2019,26-09-19 A(H),4,C2,1,0
30,September,2019,26-09-19 A(H),4,C3,1,0
30,September,2019,26-09-19 A(H),4,C4,1,0
30,September,2019,26-09-19 B(H),4,A1,1,0
30,September,2019,26-09-19 B(H),4,A2,1,0
30,September,2019,26-09-19 B(H),4,A3,1,0
30,September,2019,26-09-19 B(H),4,A4,1,0
30,September,2019,26-09-19 B(H),4,B1,1,0
30,September,2019,26-09-19 B(H),4,B2,1,0
30,September,2019,26-09-19 B(H),4,B3,1,0
30,September,2019,26-09-19 B(H),4,B4,1,0
30,September,2019,26-09-19 B(H),4,C1,1,0
30,September,2019,26-09-19 B(H),4,C2,1,0
30,September,2019,26-09-19 B(H),4,C3,1,0
30,September,2019,26-09-19 B(H),4,C4,1,0
30,September,2019,26-09-19 C(L),4,A1,1,0
30,September,2019,26-09-19 C(L),4,A2,1,0
30,September,2019,26-09-19 C(L),4,A3,1,0
30,September,2019,26-09-19 C(L),4,A4,1,0
30,September,2019,26-09-19 C(L),4,B1,1,0
30,September,2019,26-09-19 C(L),4,B2,1,0
30,September,2019,26-09-19 C(L),4,B3,1,0
30,September,2019,26-09-19 C(L),4,B4,1,0
30,September,2019,26-09-19 C(L),4,C1,1,0
30,September,2019,26-09-19 C(L),4,C2,1,0
30,September,2019,26-09-19 C(L),4,C3,1,0
30,September,2019,26-09-19 C(L),4,C4,1,0
1,October,2019,26-09-19 A(H),5,A1,1,1
1,October,2019,26-09-19 A(H),5,A2,1,1
1,October,2019,26-09-19 A(H),5,A3,0,0
1,October,2019,26-09-19 A(H),5,A4,1,0
1,October,2019,26-09-19 A(H),5,B1,1,0
1,October,2019,26-09-19 A(H),5,B2,1,0
1,October,2019,26-09-19 A(H),5,B3,1,1
1,October,2019,26-09-19 A(H),5,B4,1,1
1,October,2019,26-09-19 A(H),5,C1,1,1
1,October,2019,26-09-19 A(H),5,C2,1,1
1,October,2019,26-09-19 A(H),5,C3,1,0
1,October,2019,26-09-19 A(H),5,C4,1,0
1,October,2019,26-09-19 B(H),5,A1,1,0
1,October,2019,26-09-19 B(H),5,A2,1,1
1,October,2019,26-09-19 B(H),5,A3,1,0
1,October,2019,26-09-19 B(H),5,A4,1,1
1,October,2019,26-09-19 B(H),5,B1,1,1
1,October,2019,26-09-19 B(H),5,B2,1,1
1,October,2019,26-09-19 B(H),5,B3,1,1
1,October,2019,26-09-19 B(H),5,B4,1,0
1,October,2019,26-09-19 B(H),5,C1,1,1
1,October,2019,26-09-19 B(H),5,C2,1,1
1,October,2019,26-09-19 B(H),5,C3,1,1
1,October,2019,26-09-19 B(H),5,C4,1,1
1,October,2019,26-09-19 C(L),5,A1,1,1
1,October,2019,26-09-19 C(L),5,A2,1,0
1,October,2019,26-09-19 C(L),5,A3,1,0
1,October,2019,26-09-19 C(L),5,A4,0,0
1,October,2019,26-09-19 C(L),5,B1,0,0
1,October,2019,26-09-19 C(L),5,B2,1,0
1,October,2019,26-09-19 C(L),5,B3,1,0
1,October,2019,26-09-19 C(L),5,B4,1,0
1,October,2019,26-09-19 C(L),5,C1,0,0
1,October,2019,26-09-19 C(L),5,C2,1,0
1,October,2019,26-09-19 C(L),5,C3,1,0
